Year,Actor,Movie,Gender,Birthyear,Age
2010,Natalie Portman,Black Swan,Woman,1981,29
2010,Colin Firth,The King's Speech,Man,1960,50
2011,Meryl Streep,Iron Lady,Woman,1948,63
2011,Jean Dujardin,The Artist,Man,1972,39
2012,Jennifer Lawrence,Silver Linings Playbook,Woman,1990,22
2012,Daniel Day-Lewis,Lincoln,Man,1957,55
2013,Cate Blanchett,Blue Jasmine,Woman,1969,44
2013,Matthew McConaughey,Dallas Buyers Club,Man,1969,44
2014,Juliane Moore,Still Alice,Woman,1960,54
2014,Eddie Redmayne,The Theory of Everything,Man,1982,32
2015,Brie Larson,Room,Woman,1989,26
2015,Leondardo DiCaprio,The Revenant,Man,1974,41
2016,Emma Stone,La La Land,Woman,1988,28
2016,Casey Affleck,Manchester by the Sea,Man,1975,41
2017,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Woman,1957,60
2017,Gary Oldman,The Darkest Hour,Man,1958,59
2018,Olivia Colman,The Favorite,Woman,1974,44
2018,Rami Malek,Bohemian Rhapsody,Man,1981,37
2019,Renee Zellweger,Judy,Woman,1969,50
2019,Joaquim Phoenix,Joker,Man,1974,45
2020,Frances McDormand,Nomadland,Woman,1957,63
2020,Anthony Hopkins,The Father,Man,1937,83
